id	ean	category	quantity	notsent	name	cnName	lastWeek
637	4250755342764	Rav17_Tür	26	2	Ravenna17 Tür 125/130	MMN04 D+F 1250/1300	25|5|2|1|0
638	4250755342771	Rav17_Tür	29	5	Ravenna17 Tür 135/140	MMN04 D+F 1350/1400	63|17|12|8|3
639	4250755342788	Rav17_Tür	22	2	Ravenna17 Tür 145/150	MMN04 D+F 1450/1500	28|8|4|1|1
640	4250755330310	WB-Keramik	15	2	Brüssel001	HY3052L/CH001	44|18|8|3|1
641	4250755316932	BM-Tavolum	0	0	Tavolum Anthrazit 1500*500*50	WAT02 G 1500*500*50	0|0|0|0|0
645	4250755330686	WB-Keramik	3	1	Brüssel302	CH302	64|23|15|5|2
655	4250755343730	Rav17_2_Tür	3	6	Ravenna17-2 Tür 100	DR04 D+F 1000	45|18|9|3|1
656	4250755343747	Rav17_2_Tür	8	2	Ravenna17-2 Tür 105/110	DR04 D+F 1050/1100	39|12|6|3|1
657	4250755343754	Rav17_2_Tür	20	11	Ravenna17-2 Tür 115/120	DR04 D+F 1150/1200	133|38|19|8|5
658	4250755343761	Rav17_2_Tür	9	0	Ravenna17-2 Tür 125/130	DR04 D+F 1250/1300	24|6|0|0|0
659	4250755343778	Rav17_2_Tür	8	4	Ravenna17-2 Tür 135/140	DR04 D+F 1350/1400	51|14|5|2|0
660	4250755343785	Rav17_2_Tür	40	0	Ravenna17-2 Tür 145/150	DR04 D+F 1450/1500	23|6|1|1|0
661	4250755343792	Rav17_2_ST	8	2	Ravenna17-2 Seiten 75(1ST)	DR04 F 750 1ST	29|8|3|0|0
662	4250755343808	Rav17_2_ST	22	1	Ravenna17-2 Seiten 80(1ST)	DR04 F 800 1ST	60|22|10|3|1
663	4250755343815	Rav17_2_ST	29	3	Ravenna17-2 Seiten 90(1ST)	DR04 F 900 1ST	67|18|6|1|1
664	4250755343822	Rav17_2_ST	11	2	Ravenna17-2 Seiten 75(2SS)	DR04 F 750 2SS	13|3|2|0|0
665	4250755343839	Rav17_2_ST	22	0	Ravenna17-2 Seiten 80(2SS)	DR04 F 800 2SS	25|12|6|3|1
666	4250755343846	Rav17_2_ST	10	2	Ravenna17-2 Seiten 90(2SS)	DR04 F 900 2SS	8|1|0|0|0
